"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"108","02/16/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"109","02/17/2019",15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"110","02/18/2019",8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"111","02/19/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"112","02/20/2019",2,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"113","02/21/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"114","02/22/2019",1,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"115","02/23/2019",1,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"116","02/24/2019",0,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"117","02/25/2019",4,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"118","02/26/2019",34,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"119","02/27/2019",51,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"120","02/28/2019",38,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"121","03/01/2019",22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"122","03/02/2019",9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"123","03/03/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"124","03/04/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"125","03/05/2019",12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"126","03/06/2019",16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"127","03/07/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"128","03/08/2019",42,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"129","03/09/2019",48,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"130","03/10/2019",17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"131","03/11/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"132","03/12/2019",17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"133","03/13/2019",24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"134","03/14/2019",33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"135","03/15/2019",14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"136","03/16/2019",8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"137","03/17/2019",15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"138","03/18/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"139","03/19/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"140","03/20/2019",33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"141","03/21/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"142","03/22/2019",14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"143","03/23/2019",8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"144","03/24/2019",56,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"145","03/25/2019",67,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"146","03/26/2019",16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"147","03/27/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"148","03/28/2019",35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"149","03/29/2019",47,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"150","03/30/2019",56,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"151","03/31/2019",7,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"152","04/01/2019",12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"153","04/02/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"154","04/03/2019",41,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"155","04/04/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"156","04/05/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"157","04/06/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"158","04/07/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"159","04/08/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"160","04/09/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"161","04/10/2019",17,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"162","04/11/2019",30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"163","04/12/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
